id,x,y
0,639.4268,25.0108
1,275.0293,223.2107
2,736.4712,676.6995
3,892.1796,86.9388
4,421.9218,29.7972
5,218.638,505.3553
6,26.536,198.8377
7,649.8844,544.9415
8,220.4406,589.2657
9,809.4305,6.4988
10,805.8193,698.1394
11,340.2505,155.4795
12,957.2131,336.5945
13,92.7458,96.7164
14,847.4944,603.726
15,807.1283,729.7318
16,536.2281,973.1158
17,378.5344,552.0406
18,829.4047,618.5198
19,861.7069,577.3521
20,704.5718,45.8244
21,227.8983,289.388
22,79.792,232.7909
23,101.0014,277.9736
24,635.6844,364.8322
25,370.181,209.507
26,266.9778,936.6546
27,648.0354,609.131
28,171.1386,729.1268
29,163.4025,379.4554
30,989.5234,639.9998
31,556.9497,684.6143
32,842.8519,775.9999
33,229.0481,32.1002
34,315.453,267.7409
35,210.9828,942.9097
36,876.3676,314.6779
37,655.4387,395.6319
38,914.5476,458.8519
39,264.8802,246.6275
40,561.3681,262.7416
41,584.586,897.8229
42,399.4005,219.3208
43,997.5376,509.5263
44,90.9094,47.1164
45,109.6491,627.446
46,792.0794,422.16
47,63.5277,381.6193
48,996.1214,529.1143
49,971.0784,860.7797
